,volume,vol_fluc,vol_peak_pos,vibrato,brightness,attack,pitch,onset,offset,note_length
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,0.6755297183990479,0.5388731956481934,0.09039178490638733,0.36658838391304016,0.6822177171707153,0.3985038697719574,76,0,62,62
2,0.0,0.0,0.0,0.0,0.0,0.0,0,62,64,2
3,0.6880219578742981,0.5269681811332703,0.0798269733786583,0.31186625361442566,0.6223841309547424,0.4466499984264374,74,64,131,67
4,0.0,0.0,0.0,0.0,0.0,0.0,0,131,136,5
5,0.793576717376709,0.32976263761520386,0.12317515909671783,0.28462162613868713,0.5583484172821045,0.6257100105285645,76,136,263,127
6,0.7608389854431152,0.29388344287872314,0.143899604678154,0.3023794889450073,0.5470550656318665,0.5599431395530701,74,263,397,134
7,0.0,0.0,0.0,0.0,0.0,0.0,0,397,402,5
8,0.7644665241241455,0.34126541018486023,0.061504021286964417,0.28113123774528503,0.516166627407074,0.634334146976471,76,402,536,134
9,0.0,0.0,0.0,0.0,0.0,0.0,0,536,537,1
10,0.7234572172164917,0.27426138520240784,0.14620119333267212,0.3024224042892456,0.5013697147369385,0.510369598865509,77,537,804,267
11,0.0,0.0,0.0,0.0,0.0,0.0,0,804,806,2
12,0.7386857867240906,0.26218920946121216,0.03696030378341675,0.24931392073631287,0.46111780405044556,0.6761276125907898,79,806,936,130
13,0.7563657760620117,0.1827758252620697,0.032236188650131226,0.23893651366233826,0.4723195731639862,0.6745147705078125,81,936,1064,128
14,0.665925920009613,0.23871421813964844,0.19269701838493347,0.2886978089809418,0.46873119473457336,0.4442157745361328,82,1064,1600,536
15,0.0,0.0,0.0,0.0,0.0,0.0,0,1600,1609,9
16,0.6884135007858276,0.23733671009540558,0.10453587770462036,0.27384665608406067,0.4590453505516052,0.5151674151420593,80,1609,2010,401
17,0.0,0.0,0.0,0.0,0.0,0.0,0,2010,2011,1
18,0.6931828260421753,0.2705567181110382,0.08274737000465393,0.23672151565551758,0.4492354393005371,0.4642270803451538,82,2011,2279,268
19,0.0,0.0,0.0,0.0,0.0,0.0,0,2279,2283,4
20,0.6866344213485718,0.25758498907089233,0.0875396579504013,0.21949437260627747,0.4352637231349945,0.4620722234249115,80,2283,2546,263
21,0.7194932699203491,0.2042791247367859,0.09335072338581085,0.22122767567634583,0.4491078555583954,0.4751368463039398,78,2546,2806,260
22,0.7005195021629333,0.22595977783203125,0.005038960371166468,0.2299196720123291,0.4294789731502533,0.5625662207603455,74,2806,2940,134
23,0.0,0.0,0.0,0.0,0.0,0.0,0,2940,2944,4
24,0.6784136295318604,0.287709504365921,0.01019482221454382,0.22852233052253723,0.41938844323158264,0.5758123397827148,76,2944,3078,134
25,0.0,0.0,0.0,0.0,0.0,0.0,0,3078,3083,5
26,0.690272331237793,0.2626769542694092,0.012503235600888729,0.21727439761161804,0.43092694878578186,0.5724034905433655,78,3083,3214,131
27,0.7269963026046753,0.21571609377861023,0.06811071932315826,0.2229498326778412,0.45290929079055786,0.4934838116168976,79,3214,3479,265
28,0.6766536831855774,0.23613330721855164,0.11216302216053009,0.2509026527404785,0.4548417925834656,0.435552716255188,78,3479,3881,402
29,0.0,0.0,0.0,0.0,0.0,0.0,0,3881,3886,5
30,0.6593174934387207,0.2623807489871979,0.050747618079185486,0.24580183625221252,0.44712796807289124,0.37643757462501526,74,3886,4288,402
31,0.0,0.0,0.0,0.0,0.0,0.0,0,4288,4538,250
