,volume,vol_fluc,vibrato,brightness,attack,vol_peak_pos,pitch,onset,offset,note_length
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,4
1,0.7189215421676636,0.20492702722549438,0.3784898519515991,0.29379546642303467,0.5855883359909058,0.6102325916290283,71,4,137,133
2,0.6696567535400391,0.1795417070388794,0.5037004351615906,0.30570104718208313,0.5187342762947083,0.46088704466819763,78,137,396,259
3,0.7117368578910828,0.15872038900852203,0.29870525002479553,0.2927186191082001,0.5753374695777893,0.612087607383728,75,396,529,133
4,0.0,0.0,0.0,0.0,0.0,0.0,0,529,532,3
5,0.7018585205078125,0.1756238490343094,0.19225487112998962,0.23926499485969543,0.5679245591163635,0.7488822340965271,76,532,655,123
6,0.6909395456314087,0.14334729313850403,0.055764421820640564,0.22737985849380493,0.5930538177490234,0.6800286173820496,75,655,722,67
7,0.0,0.0,0.0,0.0,0.0,0.0,0,722,734,12
8,0.6462864875793457,0.19163119792938232,0.4271365702152252,0.2547761797904968,0.5224757790565491,0.5516793131828308,73,734,1061,327
9,0.6959394216537476,0.15131878852844238,0.35556185245513916,0.24483203887939453,0.5316561460494995,0.5585012435913086,71,1061,1327,266
10,0.0,0.0,0.0,0.0,0.0,0.0,0,1327,1328,1
11,0.6537544131278992,0.17058806121349335,0.37442654371261597,0.22263747453689575,0.4898453950881958,0.6105560660362244,76,1328,1592,264
12,0.7186051607131958,0.07447238266468048,0.12062563002109528,0.21376624703407288,0.5488187670707703,0.696533739566803,78,1592,1722,130
13,0.7290568351745605,0.07059818506240845,0.12092103809118271,0.21456313133239746,0.5499294996261597,0.7203492522239685,80,1722,1853,131
14,0.6703674793243408,0.14595341682434082,0.33999165892601013,0.2375020682811737,0.5202805995941162,0.5877997279167175,78,1853,2119,266
15,0.0,0.0,0.0,0.0,0.0,0.0,0,2119,2125,6
16,0.6259514093399048,0.1972363293170929,0.35584327578544617,0.23226132988929749,0.5027630925178528,0.5309423804283142,80,2125,2590,465
17,0.0,0.0,0.0,0.0,0.0,0.0,0,2590,2592,2
18,0.6347121000289917,0.1810268610715866,0.03028353862464428,0.17765352129936218,0.4758777916431427,0.7089334726333618,78,2592,2655,63
19,0.6582817435264587,0.20722194015979767,0.4176408350467682,0.2235657274723053,0.5020158290863037,0.41687917709350586,80,2655,3186,531
20,0.6457884311676025,0.1552760899066925,0.06759476661682129,0.20712628960609436,0.5119220018386841,0.650789201259613,82,3186,3318,132
21,0.0,0.0,0.0,0.0,0.0,0.0,0,3318,3321,3
22,0.6730834245681763,0.15596190094947815,0.13746832311153412,0.18538898229599,0.4885048568248749,0.7398269772529602,80,3321,3449,128
23,0.6863659620285034,0.14772865176200867,0.1467610001564026,0.1829056441783905,0.5274001359939575,0.6482273936271667,78,3449,3582,133
24,0.0,0.0,0.0,0.0,0.0,0.0,0,3582,3583,1
25,0.6411712169647217,0.2300238013267517,0.3350695073604584,0.19783303141593933,0.5065654516220093,0.5079275965690613,77,3583,3849,266
26,0.0,0.0,0.0,0.0,0.0,0.0,0,3849,3850,1
27,0.6550745964050293,0.23118442296981812,0.3095909655094147,0.17559903860092163,0.5086675882339478,0.5193284153938293,75,3850,4048,198
28,0.6443532705307007,0.28404802083969116,0.34820935130119324,0.1778765320777893,0.5222067832946777,0.39910921454429626,73,4048,4247,199
29,0.0,0.0,-0.0,-0.0,-0.0,0.0,0,4247,4497,250
